fecha,segmento,subsegmento,cliente,fantasia,porcentaje_total,supervisor,promotor,ruta,grupos,origen
2026-08-10,VALUE,LITRO,100159,ABRIL,0.1,,205 MAVI,2052 - VE 205 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100159,ABRIL,0.18,,205 MAVI,2052 - VE 205 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100175,ARGENTINISIMA,0.1,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100175,ARGENTINISIMA,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100176,EL FARO,0.1,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100176,EL FARO,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100177,MAR CRIS,0.1,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100177,MAR CRIS,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100181,LOLA,0.1,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100181,LOLA,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100201,DARIMAY,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100201,DARIMAY,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3014 ADIC LITRO 1890 K-T DEL VALLE | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100216,MIELES,0.1,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100216,MIELES,0.18,,201 LUJU,2011 - VE 201 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100239,NORTE,0.1,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
